"コード","会社名","市場","業種","[基本項目]直近終値(25/08/15)(円)","[通期]10年成長率(売上高)(%)","[通期]連続増収年数(売上高)(年)","[通期]10年成長率(営業利益)(%)","[通期]連続増益年数(営業利益)(年)","[通期]10年利益率(営業利益)(%)","[通期]利益率(営業利益)(%)","[指標]実績ROE(%)","[通期]増収率(売上高)(%)","[指標]予想配当利回り(%)"
"1414","ショーボンドＨ","東プ","建設","5242","5.7","10","8.6","10","20.2","22.9","14.47","6.2","3.47"
"2163","アルトナー","東プ","サービス業","1928","10.0","10","18.3","10","12.6","16.3","28.07","10.0","4.36"
"2303","ドーン","東ス","情報・通信","2540","10.7","10","46.0","10","26.5","34.9","15.98","9.7","1.02"
"3064","ＭｏｎｏｔａＲＯ","東プ","小売業","2735.5","20.4","10","24.0","10","12.6","12.9","27.71","13.3","1.13"
"3092","ＺＯＺＯ","東プ","小売業","1479","17.9","10","15.7","6","29.6","30.4","49.43","8.2","2.64"
"3661","エムアップＨ","東プ","情報・通信","2317","21.4","7","22.1","7","10.8","15.8","23.68","38.8","0.86"
"3692","ＦＦＲＩＳ","東グ","情報・通信","7180","13.2","5","12.3","3","12.2","26.9","27.65","24.2","0.19"
"3741","セック","東プ","情報・通信","4615","9.6","8","10.6","8","14.7","17.4","15.16","20.6","2.41"
"3769","ＧＭＯＰＧ","東プ","情報・通信","8147","26.2","10","26.1","10","29.5","34.1","19.17","16.9","1.52"
"3798","ＵＬＳグループ","東ス","情報・通信","7320","11.9","8","14.3","10","19.1","19.9","17.98","27.2","0.97"
"3836","アバントＧ","東プ","情報・通信","1516","12.2","10","19.1","10","14.9","16.3","23.79","15.6","2.11"
"3901","マークラインズ","東プ","情報・通信","2122","18.1","10","20.9","10","37.2","39.8","26.02","14.8","2.45"
"3923","ラクス","東プ","情報・通信","2546","30.5","10","36.8","3","16.0","20.8","45.31","27.3","0.26"
"3939","カナミックＮ","東プ","情報・通信","456","20.5","10","28.0","10","30.3","28.7","26.23","33.7","1.64"
"3964","オークネット","東プ","情報・通信","1800","12.8","7","8.5","5","16.4","12.5","18.66","29.1","2.50"
"3969","エイトレッド","東ス","情報・通信","1500","14.5","10","16.8","10","37.3","38.3","15.14","10.6","2.27"
"3984","ユーザーローカル","東プ","情報・通信","2087","24.3","10","24.8","10","41.3","43.0","17.40","17.3","0.96"
"4107","伊勢化学工業","東ス","化学","29140","6.3","8","8.1","7","13.0","23.0","15.03","26.0","1.30"
"4345","ＣＴＳ","東プ","サービス業","908","6.8","10","12.1","10","21.2","26.0","17.45","6.6","3.08"
"4684","オービック","東プ","情報・通信","5405","8.0","10","12.4","10","55.1","64.7","15.52","8.6","1.37"
"4812","電通総研","東プ","情報・通信","6530","7.1","9","17.2","7","10.4","13.8","17.36","7.0","1.78"
"5334","日本特殊陶業","東プ","ガラス土石","5232","6.5","8","7.6","4","15.2","19.9","14.12","6.3","3.48"
"6036","ＫｅｅＰｅｒ技研","東プ","サービス業","3490","14.8","10","27.1","7","21.8","30.7","30.07","12.2","1.72"
"6061","ユニバーサル園芸","東ス","サービス業","6020","17.7","10","16.9","7","13.1","12.9","14.19","21.6","0.43"
"6146","ディスコ","東プ","機械","42350","12.1","5","20.1","5","31.6","42.4","27.64","27.9",""
"6196","ストライク","東プ","サービス業","4125","40.5","10","53.5","10","38.4","37.3","30.05","31.2","4.36"
"6544","ＪＥＳＨ","東プ","サービス業","3910","16.7","10","30.8","8","12.0","17.5","30.31","17.0",""
"6777","ｓａｎｔｅｃＨ","東ス","電気機器","7520","22.5","10","41.1","10","19.0","30.9","25.88","27.3","1.99"
"6869","シスメックス","東プ","電気機器","1999.5","8.7","8","7.0","4","19.3","17.2","11.98","10.2","1.90"
"6920","レーザーテック","東プ","電気機器","17405","32.4","10","38.5","9","34.8","48.9","46.88","17.8","1.89"
"7187","ジェイリース","東プ","その他金融","1736","21.4","10","45.9","6","10.4","18.0","39.63","30.6","2.88"
"7191","イントラスト","東ス","その他金融","1024","14.0","9","62.6","10","24.6","22.0","20.86","17.8","3.42"
"7821","前田工繊","東プ","その他製品","1785","9.4","10","13.8","3","14.8","18.8","14.51","14.8","1.57"
"7839","ＳＨＯＥＩ","東プ","その他製品","1863","10.3","8","14.1","8","24.8","28.9","26.04","6.5","3.17"
"8117","中央自動車工業","東ス","卸売業","1911","10.0","10","17.6","10","20.4","26.6","16.44","5.7","2.93"
"8769","アドバンＲＭ","東ス","サービス業","595","12.1","10","13.4","3","13.0","12.0","18.99","22.2","2.86"
"8771","ｅギャランティ","東プ","その他金融","1502","9.7","10","12.7","10","46.5","49.9","15.05","11.6","2.53"
"8804","東京建物","東プ","不動産業","2778","6.9","8","10.1","4","16.4","17.2","12.76","23.3","3.49"
"8877","エスリード","東プ","不動産業","5150","12.0","10","15.6","4","12.5","15.4","13.30","18.0","4.08"
"9697","カプコン","東プ","情報・通信","4209","10.2","5","20.0","10","28.6","38.8","23.01","11.3","0.95"
"9719","ＳＣＳＫ","東プ","情報・通信","4561","7.2","10","9.0","10","10.9","11.1","15.17","24.1","2.06"
"9759","ＮＳＤ","東プ","情報・通信","3398","9.6","10","12.6","10","14.5","15.6","18.18","6.4","2.62"
