"コード","会社名","市場","業種","[基本項目]直近終値(25/08/15)(円)","[指標]連続増配年数 (直近実績)(期)","[指標]予想配当利回り(%)","[指標]配当性向(%)","[指標]予想PER (会社予想)(倍)","[指標]PBR(倍)","[指標]実績ROE(%)","[指標]自己資本比率(%)","[通期]10年間の増益回数(営業利益)(回)","[指標]総還元性向(%)"
"1871","ＰＳコンスト","東プ","建設","1789","5","4.47","40.9","13.5","1.46","14.93","44.2","7","41.5"
"1928","積水ハウス","東プ","建設","3418","9","4.21","40.2","9.5","1.18","11.71","40.8","8","40.2"
"2154","オープンアップＧ","東プ","サービス業","1870","9","4.55","51.9","13.8","2.06","16.52","64.2","8","83.7"
"2169","ＣＤＳ","東ス","サービス業","1753","7","4.22","50.3","19.0","1.34","12.29","78.1","8","50.3"
"2180","サニーサイドＧ","東ス","サービス業","622","5","3.86","34.6","8.2","2.04","22.27","43.7","7","55.7"
"2332","クエスト","東ス","情報・通信","1462","7","3.76","40.5","9.3","1.11","10.93","73.9","9","40.4"
"2374","セントケアＨ","東プ","サービス業","802","9","3.87","49.7","14.8","1.19","9.07","55.1","7","49.7"
"3276","ＪＰＭＣ","東プ","不動産業","1256","5","4.78","53.3","12.5","2.36","20.37","49.8","8","123.9"
"3817","ＳＲＡＨ","東プ","情報・通信","4610","5","3.90","67.3","11.9","1.88","11.26","59.9","8","67.3"
"4299","ハイマックス","東ス","情報・通信","1198","5","3.84","40.3","11.2","1.19","11.38","81.6","9","40.4"
"5911","横河ブリッジＨ","東プ","金属製品","2738","8","4.38","34.7","13.5","0.85","10.15","59.7","8","65.9"
"6294","オカダアイヨン","東プ","機械","1973","9","3.80","40.3","9.3","0.96","8.88","47.9","7","40.3"
"6365","電業社機械製作所","東ス","機械","4670","8","3.85","30.3","8.8","0.70","8.99","68.8","7","45.1"
"7781","平山Ｈ","東ス","精密機器","1059","5","4.82","44.5","9.2","1.62","18.14","40.5","7","44.5"
"8098","稲畑産業","東プ","卸売業","3390","7","3.78","34.4","9.4","0.88","9.71","47.1","8","50.6"
"9368","キムラユニティー","東ス","倉庫・運輸","846","7","4.02","40.7","9.7","0.89","8.47","60.7","7","87.0"
"9651","日本プロセス","東ス","情報・通信","1482","7","4.45","40.6","15.2","1.29","13.72","76.6","7","40.6"
"9765","オオバ","東プ","サービス業","1052","5","3.99","50.2","11.9","1.31","10.71","71.0","10","65.1"
