
保有証券一覧

株式（特定預り）合計

評価額合計,評価損益合計
346710.5,+18197.5

株式（特定預り）

銘柄コード,銘柄名称,保有株数,売却注文中,取得単価,現在値,取得金額,評価額,評価損益
"1928","積水ハウス",1,,3260,3121,3260,3121,-139 
"2332","クエスト",4,,1399,1441,5596,5764,+168 
"2483","翻訳センター",4,,1893,1889,7572,7556,-16 
"2763","エフティグループ",5,,1088,1212,5440,6060,+620 
"3076","あいＨＤ",3,,2187,2354,6561,7062,+501 
"3395","サンマルクＨＤ",100,,2253,2383,225300,238300,+13000 
"3834","朝日ネット",9,,660,681,5940,6129,+189 
"3950","ザ・パック",6,,1065,1101,6390,6606,+216 
"4299","ハイマックス",5,,1171,1190,5855,5950,+95 
"4362","日本精化",3,,2113,2568,6339,7704,+1365 
"5304","ＳＥＣカーボン",4,,2017,2102,8068,8408,+340 
"6294","オカダアイヨン",4,,1820,1864,7280,7456,+176 
"6326","クボタ",3,,1583,1612.5,4749,4837.5,+88.5 
"9039","サカイ引越",2,,2498,2680,4996,5360,+364 
"9233","アジア航測",5,,1094,1164,5470,5820,+350 
"9446","サカイＨＤ",15,,428,460,6420,6900,+480 
"9639","三協フロンテ",4,,1933,2008,7732,8032,+300 
"9856","ケーユーＨＤ",5,,1109,1129,5545,5645,+100 

投資信託（金額/特定預り）合計

評価額合計,評価損益合計
1732225,+582142

投資信託（金額/特定預り）

ファンド名,保有口数,売却注文中,取得単価,基準価額,取得金額,評価額,評価損益,分配金受取方法
"ＳＢＩ－ＳＢＩ・Ｖ・全世界株式インデックス・ファンド",999899口,,11502,17324,1150083,1732225,+582142,再投資

投資信託（金額/NISA預り（成長投資枠））合計

評価額合計,評価損益合計
5255534,+455454

投資信託（金額/NISA預り（成長投資枠））

ファンド名,保有口数,売却注文中,取得単価,基準価額,取得金額,評価額,評価損益,分配金受取方法
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（オール・カントリー）",1836508口,,26137,28617,4800080,5255534,+455454,再投資

投資信託（金額/NISA預り（つみたて投資枠））合計

評価額合計,評価損益合計
2115520,+265466

投資信託（金額/NISA預り（つみたて投資枠））

ファンド名,保有口数,売却注文中,取得単価,基準価額,取得金額,評価額,評価損益,分配金受取方法
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（オール・カントリー）",739253口,,25026,28617,1850054,2115520,+265466,再投資






